,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
459,Kasama,ZM,-10.2129,31.1808,60.51,59,54,6.13,broken clouds
460,Khilok,RU,51.3674,110.4676,57.79,85,100,4.74,overcast clouds
461,Atocha,BO,-20.9333,-66.2333,45.68,11,1,36.37,clear sky
462,Feicheng,CN,35.2606,117.9675,77.54,82,52,1.41,broken clouds
463,Tateyama,JP,34.9833,139.8667,75.09,94,100,6.29,moderate rain
464,Rio Grande,BR,-32.035,-52.0986,64.51,98,69,11.43,broken clouds
465,Fort Nelson,CA,58.8053,-122.7002,77.34,32,94,2.82,overcast clouds
466,Hudiksvall,SE,61.729,17.1036,49.37,83,100,15.52,light rain
467,Samfya,ZM,-11.3649,29.5565,62.42,62,47,6.51,scattered clouds
468,Charters Towers,AU,-20.1,146.2667,53.6,88,55,9.19,broken clouds
469,Huayucachi,PE,-12.1333,-75.2333,67.51,29,4,5.26,clear sky
470,Alenquer,BR,-1.9417,-54.7383,84.65,66,100,6.46,overcast clouds
471,Nosy Varika,MG,-20.5833,48.5333,63.03,93,40,5.75,scattered clouds
472,Rudnogorsk,RU,57.2639,103.7519,52.5,95,100,3.67,light rain
473,Tezu,IN,27.9167,96.1667,78.3,85,18,4.36,few clouds
474,Panuco,MX,22.05,-98.1667,82.58,49,88,10.02,overcast clouds
475,Rosarito,MX,32.3333,-117.0333,86.67,68,34,8.28,scattered clouds
476,Mahibadhoo,MV,3.7833,72.9667,82.8,77,26,11.01,scattered clouds
477,Sokur,RU,55.2093,83.319,48.56,77,81,1.95,broken clouds
478,Wajir,KE,1.7471,40.0573,75.33,65,95,17.05,overcast clouds
479,Otawara,JP,36.8667,140.0333,70.07,97,100,2.59,heavy intensity rain
480,Bairiki,KI,1.3292,172.9752,82.4,83,75,10.36,light rain
481,Jiancheng,CN,30.391,104.5491,78.31,96,100,9.84,overcast clouds
482,Linguere,SN,15.3953,-15.1193,93.38,43,73,12.3,light rain
483,Novyy Urengoy,RU,66.0833,76.6333,58.14,54,41,5.5,scattered clouds
484,Ixhuatan,MX,16.3569,-94.4825,83.98,76,99,4.18,overcast clouds
485,Bageshwar,IN,29.85,79.7667,72.25,87,96,2.57,overcast clouds
486,Arlit,NE,18.7369,7.3853,96.1,10,5,13.73,clear sky
487,Fairmont,US,39.4851,-80.1426,85.37,47,37,4.0,scattered clouds
488,Yangambi,CD,0.8102,24.4336,72.48,88,100,2.73,overcast clouds
489,Mount Gambier,AU,-37.8333,140.7667,44.83,91,100,11.43,overcast clouds
490,Takoradi,GH,4.8845,-1.7554,75.6,88,87,11.56,light rain
491,Powell,US,40.1578,-83.0752,85.89,42,100,1.99,overcast clouds
492,Goderich,CA,43.7501,-81.7165,75.9,58,93,7.61,overcast clouds
493,Baykit,RU,61.67,96.37,49.57,93,91,0.94,light rain
494,Morondava,MG,-20.2833,44.2833,69.44,72,0,4.52,clear sky
495,Rabo De Peixe,PT,37.8,-25.5833,71.28,79,40,10.36,scattered clouds
496,Xuddur,SO,4.1213,43.8894,71.55,72,96,19.69,overcast clouds
497,Melita,CA,49.2681,-100.9967,85.53,54,4,4.94,clear sky
498,Terme,TR,41.2092,36.9739,69.73,91,18,6.51,few clouds
499,Malmyzh,RU,56.5205,50.6818,61.59,97,52,4.99,broken clouds
500,Prainha,BR,-1.8,-53.48,80.92,80,100,2.89,overcast clouds
501,Slave Lake,CA,55.2834,-114.769,80.47,39,76,9.8,broken clouds
502,Braco Do Norte,BR,-28.275,-49.1656,68.52,86,100,3.24,overcast clouds
503,Jardim,BR,-21.4803,-56.1381,85.42,30,89,9.1,overcast clouds
504,Cayhagan,PH,9.6697,122.4256,78.48,85,100,1.83,light rain
505,Eureka,US,40.8021,-124.1637,72.19,70,4,7.0,clear sky
506,Leshukonskoye,RU,64.8989,45.7622,64.36,98,97,7.7,light rain
507,San Carlos De Bariloche,AR,-41.1456,-71.3082,29.95,74,75,14.97,broken clouds
508,Marrakesh,MA,31.6315,-8.0083,89.67,45,40,10.36,scattered clouds
509,Oranjestad,AW,12.524,-70.027,84.15,70,20,18.41,few clouds
510,Santa Maria,BR,-29.6842,-53.8069,66.56,85,41,5.39,scattered clouds
511,Sur,OM,22.5667,59.5289,87.64,68,100,12.71,overcast clouds
512,Meulaboh,ID,4.1363,96.1285,76.41,88,88,3.96,light rain
513,Ahuimanu,US,21.4447,-157.8378,81.54,77,100,18.41,light rain
514,Edmundston,CA,47.3737,-68.3251,77.76,40,100,11.5,light rain
515,Petropavlovka,RU,50.6114,105.3196,56.39,83,92,4.16,overcast clouds
516,Valparaiso,CL,-33.0393,-71.6273,49.48,86,100,23.96,light rain
517,Uyuni,BO,-20.4597,-66.825,45.46,11,4,28.7,clear sky
518,Mersing,MY,2.4312,103.8405,77.41,92,40,5.93,scattered clouds
519,Grindavik,IS,63.8424,-22.4338,52.27,93,100,23.02,moderate rain
520,Sao Filipe,CV,14.8961,-24.4956,74.93,79,100,5.86,overcast clouds
521,Dicabisagan,PH,17.0818,122.4157,79.47,89,95,4.97,overcast clouds
522,Hambantota,LK,6.1241,81.1185,78.76,81,96,16.96,overcast clouds
523,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,81,20,5.75,few clouds
524,Consett,GB,54.854,-1.8316,56.17,82,64,2.06,broken clouds
525,Mayo,US,38.8876,-76.5119,89.55,60,20,6.91,few clouds
526,Bereda,ES,43.2686,-7.5406,70.14,100,98,0.83,overcast clouds
527,Harindanga,IN,22.0383,88.3214,81.81,87,13,11.05,few clouds
528,Lagunas,PE,-5.2269,-75.6753,85.8,61,84,3.56,broken clouds
529,Piacabucu,BR,-10.4056,-36.4344,73.06,87,7,11.81,clear sky
530,Rincon,US,32.296,-81.2354,84.16,65,100,5.75,overcast clouds
531,Kaspiyskiy,RU,45.3929,47.3707,77.83,51,1,2.08,clear sky
532,Nishihara,JP,26.1842,127.7558,82.06,94,20,11.5,few clouds
533,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,69,20,12.66,few clouds
534,Linkuva,LT,56.0856,23.9725,52.47,92,34,8.9,scattered clouds
535,Puerto Madryn,AR,-42.7692,-65.0385,42.93,79,100,15.05,overcast clouds
536,Kidal,ML,18.4411,1.4078,93.42,27,11,9.93,few clouds
537,Santa Marta,CO,11.2408,-74.199,83.1,74,12,16.26,few clouds
538,Krasnoarmeysk,RU,51.0239,45.6969,63.18,69,0,4.79,clear sky
539,Kununurra,AU,-15.7667,128.7333,46.38,71,24,1.14,few clouds
540,Emerald,AU,-23.5333,148.1667,47.03,80,0,8.23,clear sky
541,Matara,LK,5.9485,80.5353,76.1,92,72,8.84,broken clouds
542,Houma,US,29.5958,-90.7195,87.94,60,84,1.92,broken clouds
543,Corsicana,US,32.0954,-96.4689,98.24,23,1,13.98,clear sky
544,Uvelskiy,RU,54.4446,61.3574,62.4,96,100,5.37,light rain
545,Dzaoudzi,YT,-12.7887,45.2699,75.09,64,0,9.22,clear sky
546,Eldoret,KE,0.5204,35.2699,56.55,84,99,1.59,light rain
547,Salgueiro,BR,-8.0742,-39.1192,77.2,48,20,14.81,few clouds
548,Hailey,US,43.5196,-114.3153,91.89,26,23,9.08,few clouds
549,Senador Guiomard,BR,-10.1522,-67.7392,83.95,55,100,3.36,overcast clouds
550,Richards Bay,ZA,-28.783,32.0377,62.89,80,52,1.39,broken clouds
551,Hirara,JP,24.8,125.2833,84.43,83,100,14.94,overcast clouds
552,Kuytun,RU,54.3419,101.5036,50.88,87,100,3.24,overcast clouds
553,Ettenheim,DE,48.25,7.8167,70.93,51,2,3.15,clear sky
554,Tabou,CI,4.423,-7.3528,74.68,86,100,9.35,light rain
555,Sikasso,ML,10.9167,-7.0,77.81,76,38,5.44,light rain
556,Beyneu,KZ,45.3167,55.2,86.49,27,0,10.0,clear sky
557,Mattru,SL,7.6244,-11.8332,73.24,94,100,2.71,overcast clouds
558,Benito Juarez,MX,19.385,-99.165,72.0,49,100,1.01,overcast clouds
559,Kotido,UG,2.9806,34.1331,69.73,72,99,4.16,light rain
560,Maihar,IN,24.2667,80.75,81.68,75,79,2.24,broken clouds
561,Dossor,KZ,47.5272,52.9811,83.12,26,0,9.33,clear sky
562,Cururupu,BR,-1.8283,-44.8683,77.04,84,92,3.87,overcast clouds
563,Tank,PK,32.2217,70.3793,88.39,57,6,3.0,clear sky
564,Arys,KZ,42.4252,68.795,81.91,17,0,10.83,clear sky
565,Coquimbo,CL,-29.9533,-71.3436,50.16,70,100,8.77,overcast clouds
566,Evensk,RU,61.95,159.2333,61.5,74,2,4.43,clear sky
567,Dukat,RU,62.55,155.55,71.35,46,0,3.83,clear sky
568,Iranshahr,IR,27.2025,60.6848,90.82,45,39,6.89,scattered clouds
569,Banes,CU,20.9625,-75.7186,84.65,67,100,13.49,overcast clouds
570,Alice Springs,AU,-23.7,133.8833,42.35,39,0,0.0,clear sky
571,Thurso,GB,58.5927,-3.5259,52.05,88,26,10.51,scattered clouds
572,Balabac,PH,7.9868,117.0645,80.04,81,88,3.94,light rain
573,Kudahuvadhoo,MV,2.6708,72.8944,82.76,75,98,6.44,overcast clouds
574,Jacksonville,US,30.3322,-81.6556,92.1,64,75,12.66,broken clouds
575,San Patricio,US,28.017,-97.5169,89.46,59,100,8.1,light rain
576,Salinopolis,BR,-0.6136,-47.3561,80.38,78,40,11.86,scattered clouds
577,Yumen,CN,40.2833,97.2,68.29,45,100,5.53,overcast clouds
578,Kontagora,NG,10.3999,5.4695,73.98,89,100,2.71,light rain
579,Atar,MR,20.5169,-13.0499,99.03,22,7,9.73,clear sky
580,Bani,DO,18.2833,-70.3333,87.85,61,93,12.35,overcast clouds
581,Abu Zabad,SD,12.35,29.25,74.59,83,16,4.05,few clouds
582,Kachug,RU,53.9606,105.8817,54.21,96,100,2.95,light rain
583,Brae,GB,60.3964,-1.353,50.58,84,33,11.77,scattered clouds
584,Bitung,ID,1.4451,125.1824,74.25,89,100,15.19,overcast clouds
585,Caibarien,CU,22.5206,-79.4669,88.92,70,11,8.08,few clouds
586,Djambala,CG,-2.5447,14.7533,76.6,45,48,3.09,scattered clouds
587,Viedma,AR,-40.8135,-62.9967,45.19,86,100,16.11,overcast clouds
588,Sao Joao Evangelista,BR,-18.5478,-42.7633,65.66,64,93,5.46,overcast clouds
589,Jumla,NP,29.2747,82.1838,62.02,89,77,0.34,broken clouds
590,Wladyslawowo,PL,54.7909,18.4009,58.01,70,5,15.79,clear sky
591,Lerwick,GB,60.1545,-1.1494,51.8,83,45,11.54,scattered clouds
592,Dubbo,AU,-32.25,148.6167,26.73,100,100,8.05,overcast clouds
593,Lake Jackson,US,29.0339,-95.4344,86.04,76,40,11.5,scattered clouds
594,Hastings,GB,50.8552,0.5729,65.52,60,48,10.31,scattered clouds
595,Foix,FR,42.8333,1.5833,73.2,46,5,5.17,clear sky
596,Eyl,SO,7.9803,49.8164,79.7,70,52,23.8,broken clouds
597,Nalut,LY,30.3333,10.85,85.53,17,0,5.88,clear sky
598,Bangaon,IN,23.0667,88.8167,80.94,87,28,9.35,scattered clouds
599,Lompoc,US,34.6391,-120.4579,92.7,64,0,18.41,clear sky
600,Juneau,US,58.3019,-134.4197,66.2,98,75,8.05,broken clouds
601,Loralai,PK,30.3705,68.598,74.14,74,52,2.48,broken clouds
602,Rio Gallegos,AR,-51.6226,-69.2181,31.55,78,6,18.32,clear sky
603,Grand-Santi,GF,4.25,-54.3833,74.1,98,99,3.22,overcast clouds
604,Katsuura,JP,35.1333,140.3,74.93,94,100,10.85,moderate rain
605,Nome,US,64.5011,-165.4064,61.16,60,47,6.26,scattered clouds
606,Timizart,DZ,36.8,4.2667,74.75,57,0,7.61,clear sky
607,Magadan,RU,59.5667,150.8,58.03,92,100,3.33,overcast clouds
608,Ust-Omchug,RU,61.15,149.6333,69.48,70,33,4.7,scattered clouds
609,Ketchikan,US,55.3422,-131.6461,55.87,94,100,6.91,moderate rain
610,Machali,CL,-34.1833,-70.6667,43.88,87,100,3.44,light rain
611,Abu Samrah,SY,35.3029,37.1841,73.85,71,0,14.74,clear sky
612,Aloleng,PH,16.1307,119.7824,81.75,82,100,6.2,overcast clouds
613,Tommot,RU,58.9564,126.2925,68.36,88,56,2.17,broken clouds
614,Edendale,ZA,-29.6528,30.3147,47.68,96,12,2.75,few clouds
615,La Sarre,CA,48.8002,-79.1996,70.14,64,100,4.14,overcast clouds
616,Middelkerke,BE,51.1558,2.8418,65.08,75,0,3.44,clear sky
617,Roma,US,43.2128,-75.4557,81.68,36,0,6.91,clear sky
618,Itoman,JP,26.1247,127.6694,82.78,94,100,11.5,overcast clouds
619,Innisfail,AU,-17.5333,146.0333,66.78,83,94,7.65,light rain
620,Cairns,AU,-16.9167,145.7667,64.35,94,75,9.22,light intensity shower rain
621,Swan Hill,AU,-35.3378,143.5544,45.07,59,100,8.72,overcast clouds
622,Mecca,SA,21.4267,39.8261,91.24,25,94,4.81,light rain
623,Manbij,SY,36.5281,37.9549,76.84,55,0,20.42,clear sky
624,Mangrol,IN,21.1167,70.1167,81.03,85,100,22.88,overcast clouds
625,Kimbe,PG,-5.5502,150.1429,75.97,92,68,5.93,light rain
626,Apostolove,UA,47.66,33.7137,69.6,55,60,8.3,broken clouds
627,Methoni,GR,36.8197,21.7049,79.21,62,0,5.68,clear sky
628,Colac,AU,-38.3333,143.5833,45.18,69,100,11.3,overcast clouds
629,Sechura,PE,-5.5569,-80.8222,72.64,55,0,19.69,clear sky
630,Svobodnyy,RU,51.4,128.1333,68.09,92,59,4.09,broken clouds
631,Uray,RU,60.1247,64.7758,65.89,91,67,2.68,broken clouds
632,Kedrovyy,RU,56.1667,91.8167,43.21,90,67,2.62,broken clouds
633,Belaya Gora,RU,68.5333,146.4167,65.75,60,67,10.31,broken clouds
634,Aksay,RU,47.26,39.87,79.25,29,0,3.0,clear sky
635,Shirokiy,RU,49.758,129.523,66.56,93,100,5.44,overcast clouds
636,Gwadar,PK,25.1216,62.3254,83.35,86,99,2.8,overcast clouds
637,Mariental,NA,-24.6333,17.9667,57.58,25,0,10.92,clear sky
638,Iraquara,BR,-12.2486,-41.6194,67.71,63,2,5.06,clear sky
639,Ribnica,SI,45.7386,14.7275,66.81,92,57,3.06,broken clouds
640,Kodino,RU,63.7198,39.6447,55.58,98,83,1.99,broken clouds
641,Mareeba,AU,-17.0,145.4333,59.72,95,83,3.85,broken clouds
642,Klyuchi,RU,52.2667,79.1667,59.09,87,61,5.46,broken clouds
643,Katherine,AU,-14.4667,132.2667,53.92,94,94,6.91,overcast clouds
644,Bud,US,39.447,-86.1758,82.31,87,100,6.06,overcast clouds
645,Tocache,PE,-8.1842,-76.5125,86.58,55,55,3.87,broken clouds
646,Berbera,SO,10.4396,45.0143,89.47,47,73,23.0,broken clouds
647,Portland,US,45.5234,-122.6762,82.56,42,20,7.0,few clouds
648,Bouca,CF,6.5105,18.2733,70.43,94,100,1.41,overcast clouds
649,Maur,IN,30.0833,75.25,86.14,61,100,6.71,overcast clouds
650,Luderitz,NA,-26.6481,15.1594,70.9,29,0,4.72,clear sky
651,Kemin,KG,42.7846,75.6892,65.95,33,0,5.28,clear sky
652,Balykshi,KZ,47.0667,51.8667,71.6,40,0,2.24,clear sky
653,Merauke,ID,-8.4667,140.3333,74.08,79,100,14.56,overcast clouds
654,Rocha,UY,-34.4833,-54.3333,58.26,98,100,1.63,overcast clouds
655,Basavana Bagevadi,IN,16.5833,75.9667,72.59,86,88,18.92,overcast clouds
656,Arvika,SE,59.6553,12.5852,48.81,71,78,5.93,broken clouds
657,Auburn,US,47.3073,-122.2284,82.78,47,40,8.05,scattered clouds
658,Kulhudhuffushi,MV,6.6221,73.07,81.16,81,86,10.27,overcast clouds
659,Oga,IT,46.4631,10.347,63.14,85,24,4.76,few clouds
660,Migori,KE,-1.0634,34.4731,67.06,65,97,2.19,overcast clouds
661,Belyy Yar,RU,53.6039,91.3903,57.09,76,0,4.47,clear sky
662,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.11,52,52,3.31,broken clouds
663,Flagstaff,US,35.1981,-111.6513,90.3,36,20,11.5,few clouds
664,Itaituba,BR,-4.2761,-55.9836,83.88,68,99,2.19,overcast clouds
665,Shubarkuduk,KZ,49.1447,56.4872,74.86,39,0,7.63,clear sky
666,Onega,RU,63.9061,38.1404,53.96,97,56,4.29,broken clouds
667,Egvekinot,RU,66.3167,-179.1667,44.29,60,88,4.54,overcast clouds
668,Odienne,CI,9.51,-7.5692,72.72,91,6,4.72,clear sky
669,Salina Cruz,MX,16.1667,-95.2,85.98,68,100,12.8,overcast clouds
670,Gidole,ET,5.65,37.3667,57.74,76,99,2.84,overcast clouds
671,Lubango,AO,-14.9172,13.4925,56.16,34,0,3.78,clear sky
672,Wapi Pathum,TH,15.8452,103.3768,84.33,82,64,5.35,broken clouds
673,Olkhovka,RU,53.2115,60.6069,62.04,94,52,6.76,broken clouds
674,Rancho Palos Verdes,US,33.7445,-118.387,91.42,80,15,8.99,few clouds
675,Mopipi,BW,-21.1833,24.8833,60.39,42,0,14.74,clear sky
676,Togur,RU,58.3631,82.8265,52.63,82,44,3.04,scattered clouds
677,Husavik,IS,66.0449,-17.3389,55.15,68,19,12.17,few clouds
678,Witu,KE,-2.3889,40.4382,73.56,83,88,13.02,overcast clouds
679,Omsukchan,RU,62.5333,155.8,71.85,50,0,4.72,clear sky
680,Makakilo City,US,21.3469,-158.0858,80.35,69,40,18.41,scattered clouds
681,Todos Santos,MX,23.45,-110.2167,76.66,86,7,6.26,clear sky
682,Klaksvik,FO,62.2266,-6.589,47.32,75,34,5.55,scattered clouds
683,Parnarama,BR,-5.6817,-43.0933,81.55,52,82,2.44,broken clouds
684,Gannan,CN,47.9147,123.5031,66.27,95,100,6.98,overcast clouds
685,Ukiah,US,39.1502,-123.2078,97.43,33,0,12.66,clear sky
686,Paris,FR,48.8534,2.3488,74.14,41,0,5.75,clear sky
687,Veraval,IN,20.9,70.3667,81.21,85,100,22.17,overcast clouds
688,Carman,CA,49.4992,-98.0016,82.89,67,12,0.94,few clouds
689,Tessalit,ML,20.1986,1.0114,97.54,20,96,4.65,overcast clouds
